transaction_id,clearing_mti,clearing_delay_hours,amount,amount_minor,settled_amount,settled_amount_minor,currency,interchange_fee_minor,mcc,merchant_id,mid,acquirer_bin
TX_00000024,0200,57,606.86,60686,703.56,70356,INR,1231,5812,M_5812_00102,MID_607152_000102,607152
TX_00000025,0200,68,294.58,29458,344.31,34431,INR,603,5812,M_5812_00021,MID_400814_000021,400814
TX_00000026,0200,39,4646.88,464688,4646.875748127087,464688,INR,8132,5999,M_5999_00142,MID_459110_000142,459110
TX_00000027,0200,53,1176.8,117680,1176.804198274838,117680,INR,2059,5999,M_5999_00142,MID_459110_000142,459110
TX_00000028,0200,45,483.32,48332,483.32183214559666,48332,INR,846,5541,M_5541_00113,MID_459110_000113,459110
TX_00000029,0200,67,3607.72,360772,3607.722775804526,360772,INR,6314,5411,M_5411_00015,MID_607152_000015,607152
TX_00000030,0200,68,2794.35,279435,2236.42,223642,INR,3914,5542,M_5542_00053,MID_524180_000053,524180
TX_00000031,0200,70,730.51,73051,2995.74,299574,INR,5243,5542,M_5542_00060,MID_400814_000060,400814
TX_00000032,0200,56,479.77,47977,2650.51,265051,INR,4638,5542,M_5542_00053,MID_524180_000053,524180
TX_00000033,0200,26,1817.71,181771,1817.714430802623,181771,INR,3181,5541,M_5541_00143,MID_607152_000143,607152
TX_00000034,0200,41,1373.8,137380,1505.72,150572,INR,2635,5542,M_5542_00053,MID_524180_000053,524180
TX_00000035,0200,51,497.53,49753,497.5266111434803,49753,INR,871,5541,M_5541_00095,MID_459110_000095,459110
TX_00000036,0200,57,4681.04,468104,4681.043994694434,468104,INR,8192,5541,M_5541_00129,MID_400814_000129,400814
TX_00000037,0200,56,577.79,57779,2565.92,256592,INR,4490,5542,M_5542_00053,MID_524180_000053,524180
TX_00000038,0200,61,10347.48,1034748,10347.476123054354,1034748,INR,18108,5542,M_5542_00053,MID_524180_000053,524180
TX_00000039,0200,56,1324.37,132437,1324.3689861478554,132437,INR,2318,5541,M_5541_00095,MID_459110_000095,459110
TX_00000040,0200,36,2544.39,254439,1797.95,179795,INR,3146,5542,M_5542_00053,MID_524180_000053,524180
TX_00000041,0200,64,7941.2,794120,7941.195272496094,794120,INR,13897,5411,M_5411_00058,MID_607152_000058,607152
TX_00000042,0200,38,1207.6,120760,1207.6040484583184,120760,INR,2113,5411,M_5411_00068,MID_524180_000068,524180
TX_00000043,0200,59,736.27,73627,736.26630907102,73627,INR,1288,5999,M_5999_00142,MID_459110_000142,459110
TX_00000044,0200,59,2560.01,256001,2560.0115787858394,256001,INR,4480,5411,M_5411_00051,MID_400814_000051,400814
TX_00000045,0200,43,1168.76,116876,1326.02,132602,INR,2321,5812,M_5812_00021,MID_400814_000021,400814
TX_00000046,0200,50,490.92,49092,490.9235990603067,49092,INR,859,5814,M_5814_00066,MID_524180_000066,524180
TX_00000047,0200,53,1614.9,161490,1614.9032719917898,161490,INR,2826,5411,M_5411_00049,MID_524180_000049,524180
TX_00000048,0200,40,5926.32,592632,6899.36,689936,INR,12074,5812,M_5812_00021,MID_400814_000021,400814
TX_00000049,0200,67,850.63,85063,850.6286399986121,85063,INR,1489,5812,M_5812_00021,MID_400814_000021,400814
TX_00000050,0200,51,46102.73,4610273,46102.73,4610273,INR,80680,6513,M_6513_00022,MID_400814_000022,400814
TX_00000051,0200,41,187405.24,18740524,187405.24320929826,18740524,INR,327959,5944,M_5944_00115,MID_400814_000115,400814
TX_00000052,0200,63,134236.25,13423625,134236.25,13423625,INR,234913,6051,M_6051_00023,MID_400814_000023,400814
TX_00000053,0200,61,98207.12,9820712,98207.12,9820712,INR,171862,6051,M_6051_00023,MID_400814_000023,400814
TX_00000054,0200,35,1443.23,144323,1443.2298718782738,144323,INR,2526,5411,M_5411_00015,MID_607152_000015,607152
TX_00000055,0200,35,3904.17,390417,3904.1735636354056,390417,INR,6832,5814,M_5814_00110,MID_607152_000110,607152
TX_00000056,0200,28,1374.9,137490,1374.9008425070426,137490,INR,2406,5541,M_5541_00113,MID_459110_000113,459110
TX_00000057,0200,69,8498.81,849881,10153.37,1015337,INR,17768,5812,M_5812_00021,MID_400814_000021,400814
TX_00000058,0200,44,2057.56,205756,2374.26,237426,INR,4155,5812,M_5812_00021,MID_400814_000021,400814
TX_00000059,0200,48,314.75,31475,361.77,36177,INR,633,5812,M_5812_00021,MID_400814_000021,400814
TX_00000060,0200,32,1013.14,101314,1168.38,116838,INR,2045,5812,M_5812_00043,MID_400814_000043,400814
TX_00000061,0200,30,1701.55,170155,2437.92,243792,INR,4266,5542,M_5542_00053,MID_524180_000053,524180
TX_00000062,0200,38,1343.34,134334,1343.3375602104045,134334,INR,2351,5411,M_5411_00059,MID_524180_000059,524180
TX_00000063,0200,71,8068.02,806802,9455.63,945563,INR,16547,5812,M_5812_00021,MID_400814_000021,400814
TX_00000064,0200,45,185251.19,18525119,185251.18820532772,18525119,INR,324190,5944,M_5944_00072,MID_607152_000072,607152
TX_00000065,0200,50,7154.39,715439,7154.387408237182,715439,INR,12520,5999,M_5999_00142,MID_459110_000142,459110
TX_00000066,0200,71,2173.15,217315,2173.150530744373,217315,INR,3803,5311,M_5311_00116,MID_524180_000116,524180
TX_00000067,0200,30,1180.68,118068,1180.678331749908,118068,INR,2066,5411,M_5411_00058,MID_607152_000058,607152
TX_00000068,0200,67,1730.41,173041,2936.34,293634,INR,5139,5542,M_5542_00053,MID_524180_000053,524180
TX_00000069,0200,44,3764.69,376469,3764.691600505701,376469,INR,6588,5812,M_5812_00021,MID_400814_000021,400814
TX_00000070,0200,66,2774.93,277493,1686.21,168621,INR,2951,5542,M_5542_00053,MID_524180_000053,524180
TX_00000071,0200,61,2927.48,292748,2927.484649099021,292748,INR,5123,5541,M_5541_00113,MID_459110_000113,459110
TX_00000072,0200,69,257.81,25781,257.81364681427357,25781,INR,451,5541,M_5541_00113,MID_459110_000113,459110
TX_00000073,0200,52,604.29,60429,1555.16,155516,INR,2722,5542,M_5542_00121,MID_524180_000121,524180
TX_00000074,0200,61,2086.06,208606,2086.064167692267,208606,INR,3651,5541,M_5541_00134,MID_400814_000134,400814
TX_00000075,0200,33,1680.41,168041,1680.4138073042723,168041,INR,2941,5541,M_5541_00143,MID_607152_000143,607152
TX_00000076,0200,37,1131.09,113109,1131.0867733416455,113109,INR,1979,5541,M_5541_00132,MID_607152_000132,607152
TX_00000077,0200,66,947.12,94712,947.1181282333426,94712,INR,1657,5411,M_5411_00015,MID_607152_000015,607152
TX_00000078,0200,56,1096.44,109644,1096.44430100889,109644,INR,1919,5541,M_5541_00019,MID_524180_000019,524180
TX_00000079,0200,70,152.05,15205,152.04706680130676,15205,INR,266,5411,M_5411_00058,MID_607152_000058,607152
TX_00000080,0200,71,82018.71,8201871,82018.71,8201871,INR,143533,5732,M_5732_00045,MID_459110_000045,459110
TX_00000081,0200,68,697.07,69707,772.98,77298,INR,1353,5812,M_5812_00021,MID_400814_000021,400814
TX_00000082,0200,31,1715.19,171519,1715.1881376966855,171519,INR,3002,5411,M_5411_00097,MID_524180_000097,524180
TX_00000083,0200,30,982.01,98201,982.0103074969632,98201,INR,1719,5541,M_5541_00095,MID_459110_000095,459110
TX_00000084,0200,25,1655.02,165502,1655.0235129039345,165502,INR,2896,5541,M_5541_00057,MID_607152_000057,607152
TX_00000085,0200,50,5517.88,551788,5517.883006552737,551788,INR,9656,5812,M_5812_00021,MID_400814_000021,400814
TX_00000086,0200,67,997.63,99763,1097.57,109757,INR,1921,5812,M_5812_00021,MID_400814_000021,400814
TX_00000087,0200,69,4735.74,473574,5389.53,538953,INR,9432,5812,M_5812_00021,MID_400814_000021,400814
TX_00000088,0200,39,5046.84,504684,5552.61,555261,INR,9717,5812,M_5812_00081,MID_400814_000081,400814
TX_00000089,0200,24,1289.38,128938,1508.77,150877,INR,2640,5812,M_5812_00021,MID_400814_000021,400814
TX_00000090,0200,60,2277.11,227711,2277.1075585056433,227711,INR,3985,5411,M_5411_00098,MID_524180_000098,524180
TX_00000091,0200,36,1208.37,120837,1208.3651192412685,120837,INR,2115,5411,M_5411_00058,MID_607152_000058,607152
TX_00000092,0200,40,1392.31,139231,1643.03,164303,INR,2875,5812,M_5812_00021,MID_400814_000021,400814
TX_00000093,0200,28,757.09,75709,757.0909922478646,75709,INR,1325,5541,M_5541_00095,MID_459110_000095,459110
TX_00000094,0200,27,2409.88,240988,2409.8786583535316,240988,INR,4217,5541,M_5541_00129,MID_400814_000129,400814
TX_00000095,0200,65,3112.93,311293,3649.46,364946,INR,6387,5812,M_5812_00123,MID_524180_000123,524180
TX_00000096,0200,29,4901.09,490109,5684.31,568431,INR,9948,5812,M_5812_00021,MID_400814_000021,400814
TX_00000097,0200,57,893.2,89320,893.195953844526,89320,INR,1563,5411,M_5411_00098,MID_524180_000098,524180
TX_00000098,0200,46,2281.58,228158,2281.5841484122957,228158,INR,3993,5812,M_5812_00021,MID_400814_000021,400814
TX_00000099,0200,34,220.19,22019,220.18760321638453,22019,INR,385,5999,M_5999_00142,MID_459110_000142,459110
TX_00000100,0200,59,75756.21,7575621,75756.21,7575621,INR,132573,5732,M_5732_00013,MID_459110_000013,459110
TX_00000101,0200,71,3556.99,355699,4197.83,419783,INR,7346,5812,M_5812_00021,MID_400814_000021,400814
TX_00000102,0200,50,1280.06,128006,1280.0623379953263,128006,INR,2240,5999,M_5999_00142,MID_459110_000142,459110
TX_00000103,0200,47,2165.66,216566,2423.47,242347,INR,4241,5812,M_5812_00021,MID_400814_000021,400814
TX_00000104,0200,53,2033.92,203392,2936.22,293622,INR,5138,5542,M_5542_00053,MID_524180_000053,524180
TX_00000105,0200,66,1241.79,124179,2979.93,297993,INR,5215,5542,M_5542_00053,MID_524180_000053,524180
TX_00000106,0200,57,311.28,31128,311.27518774911516,31128,INR,545,5541,M_5541_00057,MID_607152_000057,607152
TX_00000107,0200,25,11972.64,1197264,11972.640063250274,1197264,INR,20952,5541,M_5541_00119,MID_524180_000119,524180
TX_00000108,0200,63,708.08,70808,708.0788824082758,70808,INR,1239,5541,M_5541_00113,MID_459110_000113,459110
TX_00000109,0200,65,302.37,30237,302.36507487210116,30237,INR,529,5541,M_5541_00119,MID_524180_000119,524180
TX_00000110,0200,55,2579.22,257922,3449.65,344965,INR,6037,5542,M_5542_00053,MID_524180_000053,524180
TX_00000111,0200,24,33658.85,3365885,33658.845472591085,3365885,INR,58903,5812,M_5812_00112,MID_400814_000112,400814
TX_00000112,0200,38,859.22,85922,976.6,97660,INR,1709,5812,M_5812_00021,MID_400814_000021,400814
TX_00000113,0200,55,3967.48,396748,4574.74,457474,INR,8006,5812,M_5812_00021,MID_400814_000021,400814
TX_00000114,0200,71,422.77,42277,504.34,50434,INR,883,5812,M_5812_00021,MID_400814_000021,400814
TX_00000115,0200,62,2012.3,201230,2012.300723995707,201230,INR,3522,5999,M_5999_00142,MID_459110_000142,459110
TX_00000116,0200,65,457.28,45728,457.28397319687906,45728,INR,800,5999,M_5999_00142,MID_459110_000142,459110
TX_00000117,0200,37,1010.24,101024,1010.2443526522096,101024,INR,1768,4816,M_4816_00109,MID_459110_000109,459110
TX_00000118,0200,58,3929.01,392901,3929.0128717124207,392901,INR,6876,5732,M_5732_00082,MID_607152_000082,607152
TX_00000119,0200,49,4083.98,408398,4083.9795109004963,408398,INR,7147,5311,M_5311_00079,MID_607152_000079,607152
TX_00000120,0200,66,1557.18,155718,1557.1769604003568,155718,INR,2725,5411,M_5411_00059,MID_524180_000059,524180
TX_00000121,0200,54,1022.95,102295,1132.79,113279,INR,1982,5812,M_5812_00081,MID_400814_000081,400814
TX_00000122,0200,27,2190.84,219084,2499.16,249916,INR,4374,5812,M_5812_00043,MID_400814_000043,400814
TX_00000123,0200,29,73705.45,7370545,73705.45,7370545,INR,128985,5732,M_5732_00013,MID_459110_000013,459110
TX_00000124,0200,25,941.98,94198,1049.19,104919,INR,1836,5812,M_5812_00021,MID_400814_000021,400814
TX_00000125,0200,69,687.52,68752,687.52344805779,68752,INR,1203,5999,M_5999_00142,MID_459110_000142,459110
TX_00000126,0200,32,1496.73,149673,1496.7250219692112,149673,INR,2619,5411,M_5411_00051,MID_400814_000051,400814
TX_00000127,0200,38,2235.0,223500,2234.9983642568745,223500,INR,3911,5999,M_5999_00142,MID_459110_000142,459110
TX_00000128,0200,48,2545.54,254554,2545.535540568364,254554,INR,4455,5541,M_5541_00019,MID_524180_000019,524180
TX_00000129,0200,52,2227.0,222700,2227.002824753567,222700,INR,3897,5411,M_5411_00084,MID_607152_000084,607152
TX_00000130,0200,44,1710.58,171058,1710.5825864837277,171058,INR,2994,5411,M_5411_00028,MID_607152_000028,607152
TX_00000131,0200,71,2300.92,230092,2573.19,257319,INR,4503,5812,M_5812_00021,MID_400814_000021,400814
TX_00000132,0200,30,7984.07,798407,7984.069638633527,798407,INR,13972,4816,M_4816_00011,MID_459110_000011,459110
TX_00000133,0200,36,519.4,51940,519.3999319819784,51940,INR,909,5814,M_5814_00016,MID_524180_000016,524180
TX_00000134,0200,60,1696.31,169631,1696.3140704637894,169631,INR,2969,5999,M_5999_00142,MID_459110_000142,459110
TX_00000135,0200,28,1357.89,135789,3146.09,314609,INR,5506,5542,M_5542_00053,MID_524180_000053,524180
TX_00000136,0200,71,3244.33,324433,3244.328198718096,324433,INR,5678,5541,M_5541_00062,MID_524180_000062,524180
TX_00000137,0200,34,674.01,67401,674.0062389384914,67401,INR,1180,5411,M_5411_00051,MID_400814_000051,400814
TX_00000138,0200,68,1842.14,184214,2867.3,286730,INR,5018,5542,M_5542_00053,MID_524180_000053,524180
TX_00000139,0200,58,922.15,92215,2426.16,242616,INR,4246,5542,M_5542_00060,MID_400814_000060,400814
TX_00000140,0200,36,1814.68,181468,2113.91,211391,INR,3699,5812,M_5812_00021,MID_400814_000021,400814
TX_00000141,0200,57,5084.07,508407,5084.074469298225,508407,INR,8897,5411,M_5411_00128,MID_524180_000128,524180
TX_00000142,0200,48,3799.04,379904,4356.96,435696,INR,7625,5812,M_5812_00123,MID_524180_000123,524180
TX_00000143,0200,44,2322.38,232238,2786.23,278623,INR,4876,5812,M_5812_00102,MID_607152_000102,607152
TX_00000144,0200,55,736.31,73631,736.3070129684941,73631,INR,1289,5814,M_5814_00066,MID_524180_000066,524180
TX_00000145,0200,33,933.72,93372,1036.02,103602,INR,1813,5812,M_5812_00021,MID_400814_000021,400814
TX_00000146,0200,39,407.08,40708,407.08275723733607,40708,INR,712,5999,M_5999_00142,MID_459110_000142,459110
TX_00000147,0200,30,561.13,56113,1518.5,151850,INR,2657,5542,M_5542_00053,MID_524180_000053,524180
TX_00000148,0200,32,1196.34,119634,1196.3419295948509,119634,INR,2094,5411,M_5411_00015,MID_607152_000015,607152
TX_00000149,0200,43,2059.55,205955,2422.45,242245,INR,4239,5812,M_5812_00021,MID_400814_000021,400814
TX_00000150,0200,36,1047.93,104793,1047.9276348643018,104793,INR,1834,5311,M_5311_00116,MID_524180_000116,524180
TX_00000151,0200,37,442.02,44202,442.01612123242177,44202,INR,774,5411,M_5411_00074,MID_459110_000074,459110
TX_00000152,0200,54,8180.81,818081,8180.812908253943,818081,INR,14316,5541,M_5541_00113,MID_459110_000113,459110
TX_00000153,0200,38,1434.15,143415,1434.1450637678913,143415,INR,2510,5311,M_5311_00116,MID_524180_000116,524180
TX_00000154,0200,29,1242.02,124202,1427.12,142712,INR,2497,5812,M_5812_00021,MID_400814_000021,400814
TX_00000155,0200,37,2340.65,234065,2340.652861985871,234065,INR,4096,5999,M_5999_00142,MID_459110_000142,459110
TX_00000156,0200,51,282.49,28249,282.4908158890885,28249,INR,494,5732,M_5732_00045,MID_459110_000045,459110
TX_00000157,0200,33,2938.01,293801,3455.06,345506,INR,6046,5812,M_5812_00081,MID_400814_000081,400814
TX_00000158,0200,56,1248.17,124817,1248.1735921163756,124817,INR,2184,5944,M_5944_00002,MID_524180_000002,524180
TX_00000159,0200,63,1765.57,176557,1765.5713776630002,176557,INR,3090,5814,M_5814_00148,MID_400814_000148,400814
TX_00000160,0200,34,1766.28,176628,3164.02,316402,INR,5537,5542,M_5542_00053,MID_524180_000053,524180
TX_00000161,0200,51,3426.15,342615,3426.1543636126366,342615,INR,5996,5411,M_5411_00015,MID_607152_000015,607152
TX_00000162,0200,54,320.73,32073,320.7331553016812,32073,INR,561,5912,M_5912_00048,MID_524180_000048,524180
TX_00000163,0200,50,938.32,93832,1076.84,107684,INR,1884,5812,M_5812_00021,MID_400814_000021,400814
TX_00000164,0200,60,3877.92,387792,3877.922826442972,387792,INR,6786,5812,M_5812_00021,MID_400814_000021,400814
TX_00000165,0200,60,2072.77,207277,2072.7749073816954,207277,INR,3627,5411,M_5411_00097,MID_524180_000097,524180
TX_00000166,0200,52,1296.16,129616,1548.62,154862,INR,2710,5812,M_5812_00021,MID_400814_000021,400814
TX_00000167,0200,40,5872.63,587263,5872.628769798522,587263,INR,10277,5999,M_5999_00142,MID_459110_000142,459110
TX_00000168,0200,69,809.04,80904,2739.64,273964,INR,4794,5542,M_5542_00053,MID_524180_000053,524180
TX_00000169,0200,60,383.68,38368,383.67539390619623,38368,INR,671,5541,M_5541_00119,MID_524180_000119,524180
TX_00000170,0200,36,1803.69,180369,1803.6918528911,180369,INR,3156,5541,M_5541_00113,MID_459110_000113,459110
TX_00000171,0200,70,4067.26,406726,4067.256433179811,406726,INR,7118,5541,M_5541_00095,MID_459110_000095,459110
TX_00000172,0200,39,606.35,60635,3031.0,303100,INR,5304,5542,M_5542_00053,MID_524180_000053,524180
TX_00000173,0200,51,1363.74,136374,1824.07,182407,INR,3192,5542,M_5542_00060,MID_400814_000060,400814
TX_00000174,0200,28,1135.24,113524,1135.2390744311053,113524,INR,1987,5541,M_5541_00129,MID_400814_000129,400814
TX_00000175,0200,30,2062.13,206213,2302.26,230226,INR,4029,5812,M_5812_00021,MID_400814_000021,400814
TX_00000176,0200,47,2004.02,200402,2273.04,227304,INR,3978,5812,M_5812_00021,MID_400814_000021,400814
TX_00000177,0200,40,1179.93,117993,1179.931867052026,117993,INR,2065,5912,M_5912_00101,MID_459110_000101,459110
TX_00000178,0200,28,563.65,56365,563.6536610590723,56365,INR,986,5311,M_5311_00138,MID_607152_000138,607152
TX_00000179,0200,48,2721.99,272199,2517.67,251767,INR,4406,5542,M_5542_00060,MID_400814_000060,400814
TX_00000180,0200,26,2055.47,205547,2055.473518988749,205547,INR,3597,5411,M_5411_00068,MID_524180_000068,524180
TX_00000181,0200,58,1298.27,129827,1298.2691091325148,129827,INR,2272,5999,M_5999_00142,MID_459110_000142,459110
TX_00000182,0200,41,468.91,46891,468.9084378098757,46891,INR,821,5311,M_5311_00104,MID_459110_000104,459110
TX_00000183,0200,62,916.79,91679,1054.8,105480,INR,1846,5812,M_5812_00145,MID_607152_000145,607152
TX_00000184,0200,52,3056.99,305699,1855.85,185585,INR,3248,5542,M_5542_00053,MID_524180_000053,524180
TX_00000185,0200,29,645.6,64560,645.6020227282461,64560,INR,1130,5311,M_5311_00104,MID_459110_000104,459110
TX_00000186,0200,52,405.09,40509,405.0936101779911,40509,INR,709,5999,M_5999_00142,MID_459110_000142,459110
TX_00000187,0200,54,5166.21,516621,5166.213817401608,516621,INR,9041,5541,M_5541_00113,MID_459110_000113,459110
TX_00000188,0200,53,8224.36,822436,8224.36414083067,822436,INR,14393,5542,M_5542_00060,MID_400814_000060,400814
TX_00000189,0200,39,2162.37,216237,2162.368780207412,216237,INR,3784,5411,M_5411_00135,MID_459110_000135,459110
TX_00000190,0200,43,2167.07,216707,2596.31,259631,INR,4544,5812,M_5812_00021,MID_400814_000021,400814
TX_00000191,0200,29,1903.68,190368,1903.6845152543276,190368,INR,3331,5311,M_5311_00116,MID_524180_000116,524180
TX_00000192,0200,70,1420.64,142064,1420.6434645005522,142064,INR,2486,5541,M_5541_00134,MID_400814_000134,400814
TX_00000193,0200,25,3179.1,317910,3179.1040459712426,317910,INR,5563,5541,M_5541_00064,MID_459110_000064,459110
TX_00000194,0200,35,1263.59,126359,1263.590157477147,126359,INR,2211,5541,M_5541_00120,MID_400814_000120,400814
TX_00000195,0200,58,2455.97,245597,2455.9656007133503,245597,INR,4298,5541,M_5541_00057,MID_607152_000057,607152
TX_00000196,0200,68,4733.83,473383,3133.13,313313,INR,5483,5542,M_5542_00077,MID_400814_000077,400814
TX_00000197,0200,55,2120.62,212062,2319.37,231937,INR,4059,5542,M_5542_00053,MID_524180_000053,524180
TX_00000198,0200,31,2775.16,277516,3091.81,309181,INR,5411,5542,M_5542_00053,MID_524180_000053,524180
TX_00000199,0200,62,810.96,81096,3371.43,337143,INR,5900,5542,M_5542_00053,MID_524180_000053,524180
TX_00000200,0200,44,801.33,80133,2174.09,217409,INR,3805,5542,M_5542_00053,MID_524180_000053,524180
TX_00000201,0200,52,1907.55,190755,1721.34,172134,INR,3012,5542,M_5542_00053,MID_524180_000053,524180
TX_00000202,0200,34,442.96,44296,2812.79,281279,INR,4922,5542,M_5542_00053,MID_524180_000053,524180
TX_00000203,0200,46,1914.66,191466,1914.6633982356768,191466,INR,3351,5732,M_5732_00082,MID_607152_000082,607152
TX_00000204,0200,42,3090.46,309046,3090.459653758663,309046,INR,5408,5411,M_5411_00058,MID_607152_000058,607152
TX_00000205,0200,54,602.8,60280,602.8032574700618,60280,INR,1055,4816,M_4816_00011,MID_459110_000011,459110
TX_00000206,0200,69,821.3,82130,956.54,95654,INR,1674,5812,M_5812_00021,MID_400814_000021,400814
TX_00000207,0200,35,899.17,89917,1011.82,101182,INR,1771,5812,M_5812_00021,MID_400814_000021,400814
TX_00000208,0200,39,8700.69,870069,8700.693014997232,870069,INR,15226,4816,M_4816_00109,MID_459110_000109,459110
TX_00000209,0200,51,1084.64,108464,1084.6417225295145,108464,INR,1898,5999,M_5999_00142,MID_459110_000142,459110
TX_00000210,0200,25,1477.23,147723,1477.233033853291,147723,INR,2585,5732,M_5732_00045,MID_459110_000045,459110
TX_00000211,0200,65,169798.94,16979894,169798.94032943173,16979894,INR,297148,5944,M_5944_00072,MID_607152_000072,607152
TX_00000212,0200,40,28205.4,2820540,28205.40253207073,2820540,INR,49359,5812,M_5812_00021,MID_400814_000021,400814
TX_00000213,0200,51,1670.07,167007,1670.071616200755,167007,INR,2923,5411,M_5411_00051,MID_400814_000051,400814
TX_00000214,0200,34,2057.11,205711,2411.92,241192,INR,4221,5812,M_5812_00043,MID_400814_000043,400814
TX_00000215,0200,52,3290.3,329030,3927.33,392733,INR,6873,5812,M_5812_00032,MID_400814_000032,400814
TX_00000216,0200,31,1862.03,186203,2216.6,221660,INR,3879,5812,M_5812_00102,MID_607152_000102,607152
TX_00000217,0200,38,4498.86,449886,4498.859783905306,449886,INR,7873,5999,M_5999_00142,MID_459110_000142,459110
TX_00000218,0200,58,187876.78,18787678,187876.7767536855,18787678,INR,328784,5944,M_5944_00002,MID_524180_000002,524180
TX_00000219,0200,69,4246.69,424669,4246.692459807127,424669,INR,7432,5814,M_5814_00065,MID_607152_000065,607152
TX_00000220,0200,38,1852.03,185203,1852.0322009637462,185203,INR,3241,5814,M_5814_00089,MID_524180_000089,524180
TX_00000221,0200,42,2382.24,238224,2382.2386483012224,238224,INR,4169,5999,M_5999_00142,MID_459110_000142,459110
TX_00000222,0200,42,784.22,78422,881.86,88186,INR,1543,5812,M_5812_00021,MID_400814_000021,400814
TX_00000223,0200,55,4801.63,480163,5700.86,570086,INR,9977,5812,M_5812_00021,MID_400814_000021,400814
TX_00000224,0200,69,3673.18,367318,3673.1768174252697,367318,INR,6428,5912,M_5912_00091,MID_459110_000091,459110
TX_00000225,0200,35,2002.48,200248,2002.476948243149,200248,INR,3504,5732,M_5732_00045,MID_459110_000045,459110
TX_00000226,0200,37,3401.05,340105,3401.04784483314,340105,INR,5952,5999,M_5999_00142,MID_459110_000142,459110
TX_00000227,0200,62,2546.68,254668,2158.82,215882,INR,3778,5542,M_5542_00053,MID_524180_000053,524180
TX_00000228,0200,59,7422.49,742249,7422.487536326364,742249,INR,12989,5542,M_5542_00077,MID_400814_000077,400814
TX_00000229,0200,65,2697.91,269791,2035.81,203581,INR,3563,5542,M_5542_00012,MID_524180_000012,524180
TX_00000230,0200,50,1160.95,116095,2381.82,238182,INR,4168,5542,M_5542_00053,MID_524180_000053,524180
TX_00000231,0200,24,1553.74,155374,1553.7416954157359,155374,INR,2719,5541,M_5541_00119,MID_524180_000119,524180
TX_00000232,0200,70,1557.38,155738,3425.2,342520,INR,5994,5542,M_5542_00077,MID_400814_000077,400814
TX_00000233,0200,40,2881.49,288149,2881.4896006305057,288149,INR,5043,5732,M_5732_00045,MID_459110_000045,459110
TX_00000234,0200,54,977.3,97730,3217.93,321793,INR,5631,5542,M_5542_00077,MID_400814_000077,400814
